Bedroom,LGA,Period,Affordable,Percent
1br,Glenelg,2000-09-01 00:00:00,9,1
1br,Glenelg,2000-12-01 00:00:00,9,1
1br,Glenelg,2001-03-01 00:00:00,8,0.889
1br,Glenelg,2001-06-01 00:00:00,5,0.625
1br,Glenelg,2001-09-01 00:00:00,9,1
1br,Glenelg,2001-12-01 00:00:00,9,0.9
1br,Glenelg,2002-03-01 00:00:00,9,0.9
1br,Glenelg,2002-06-01 00:00:00,6,0.75
1br,Glenelg,2002-09-01 00:00:00,7,0.875
1br,Glenelg,2002-12-01 00:00:00,6,1
1br,Glenelg,2003-03-01 00:00:00,4,0.8
1br,Glenelg,2003-06-01 00:00:00,4,0.667
1br,Glenelg,2003-09-01 00:00:00,3,0.6
1br,Glenelg,2003-12-01 00:00:00,6,0.6
1br,Glenelg,2004-03-01 00:00:00,8,0.8
1br,Glenelg,2004-06-01 00:00:00,2,1
1br,Glenelg,2004-09-01 00:00:00,2,0.667
1br,Glenelg,2004-12-01 00:00:00,4,0.8
1br,Glenelg,2005-03-01 00:00:00,7,0.7
1br,Glenelg,2005-06-01 00:00:00,4,0.571
1br,Glenelg,2005-09-01 00:00:00,6,0.75
1br,Glenelg,2005-12-01 00:00:00,5,1
1br,Glenelg,2006-03-01 00:00:00,8,0.8
1br,Glenelg,2006-06-01 00:00:00,2,0.667
1br,Glenelg,2006-09-01 00:00:00,6,0.75
1br,Glenelg,2006-12-01 00:00:00,2,0.4
1br,Glenelg,2007-03-01 00:00:00,1,0.333
1br,Glenelg,2007-06-01 00:00:00,7,1
1br,Glenelg,2007-09-01 00:00:00,7,0.583
1br,Glenelg,2007-12-01 00:00:00,4,0.667
1br,Glenelg,2008-03-01 00:00:00,3,0.3
1br,Glenelg,2008-06-01 00:00:00,2,0.286
1br,Glenelg,2008-09-01 00:00:00,5,0.556
1br,Glenelg,2008-12-01 00:00:00,0,0
1br,Glenelg,2009-03-01 00:00:00,2,0.25
1br,Glenelg,2009-06-01 00:00:00,4,0.308
1br,Glenelg,2009-09-01 00:00:00,3,0.375
1br,Glenelg,2009-12-01 00:00:00,6,0.667
1br,Glenelg,2010-03-01 00:00:00,4,0.444
1br,Glenelg,2010-06-01 00:00:00,4,0.571
1br,Glenelg,2010-09-01 00:00:00,8,0.889
1br,Glenelg,2010-12-01 00:00:00,3,0.75
1br,Glenelg,2011-03-01 00:00:00,5,0.385
1br,Glenelg,2011-06-01 00:00:00,3,0.5
1br,Glenelg,2011-09-01 00:00:00,4,0.364
1br,Glenelg,2011-12-01 00:00:00,5,0.714
1br,Glenelg,2012-03-01 00:00:00,2,0.222
1br,Glenelg,2012-06-01 00:00:00,0,0
1br,Glenelg,2012-09-01 00:00:00,5,0.556
1br,Glenelg,2012-12-01 00:00:00,4,0.444
1br,Glenelg,2013-03-01 00:00:00,1,0.125
1br,Glenelg,2013-06-01 00:00:00,1,0.333
1br,Glenelg,2013-09-01 00:00:00,4,0.571
1br,Glenelg,2014-03-01 00:00:00,1,0.25
1br,Glenelg,2014-06-01 00:00:00,2,0.286
1br,Glenelg,2014-09-01 00:00:00,2,0.5
1br,Glenelg,2014-12-01 00:00:00,2,0.2
1br,Glenelg,2015-03-01 00:00:00,4,0.444
1br,Glenelg,2015-06-01 00:00:00,4,0.667
1br,Glenelg,2015-09-01 00:00:00,3,0.5
1br,Glenelg,2015-12-01 00:00:00,3,0.429
1br,Glenelg,2016-03-01 00:00:00,4,0.667
1br,Glenelg,2016-06-01 00:00:00,1,0.25
1br,Glenelg,2016-09-01 00:00:00,3,0.5
1br,Glenelg,2016-12-01 00:00:00,3,0.333
1br,Glenelg,2017-03-01 00:00:00,2,0.4
1br,Glenelg,2017-09-01 00:00:00,0,0
1br,Glenelg,2017-12-01 00:00:00,0,0
1br,Glenelg,2018-03-01 00:00:00,2,0.333
1br,Glenelg,2018-06-01 00:00:00,3,0.429
1br,Glenelg,2018-09-01 00:00:00,3,0.6
1br,Glenelg,2018-12-01 00:00:00,6,0.6
1br,Glenelg,2019-03-01 00:00:00,1,0.25
1br,Glenelg,2019-06-01 00:00:00,1,0.167
1br,Glenelg,2019-09-01 00:00:00,0,0
1br,Glenelg,2019-12-01 00:00:00,3,0.375
1br,Glenelg,2020-03-01 00:00:00,2,0.333
1br,Glenelg,2020-06-01 00:00:00,2,0.222
1br,Glenelg,2020-09-01 00:00:00,0,0
1br,Glenelg,2020-12-01 00:00:00,0,0
1br,Glenelg,2021-03-01 00:00:00,0,0
1br,Glenelg,2021-06-01 00:00:00,0,0
1br,Glenelg,2021-09-01 00:00:00,0,0
1br,Glenelg,2021-12-01 00:00:00,2,0.4
1br,Glenelg,2022-03-01 00:00:00,0,0
1br,Glenelg,2022-06-01 00:00:00,2,0.286
1br,Glenelg,2022-09-01 00:00:00,1,0.167
1br,Glenelg,2022-12-01 00:00:00,0,0
1br,Glenelg,2023-03-01 00:00:00,0,0
1br,Glenelg,2023-06-01 00:00:00,0,0
1br,Glenelg,2023-09-01 00:00:00,0,0
1br,Glenelg,2023-12-01 00:00:00,0,0
1br,Glenelg,2024-03-01 00:00:00,0,0
1br,Glenelg,2024-06-01 00:00:00,1,0.143
1br,Glenelg,2024-09-01 00:00:00,0,0
1br,Glenelg,2024-12-01 00:00:00,0,0
1br,Glenelg,2025-03-01 00:00:00,1,0.143
1br,Golden Plains,2000-03-01 00:00:00,0,0
1br,Golden Plains,2000-06-01 00:00:00,0,0
1br,Golden Plains,2000-09-01 00:00:00,1,1
1br,Golden Plains,2000-12-01 00:00:00,1,1
1br,Golden Plains,2001-03-01 00:00:00,1,1
1br,Golden Plains,2001-06-01 00:00:00,2,1
1br,Golden Plains,2001-09-01 00:00:00,0,0
1br,Golden Plains,2001-12-01 00:00:00,0,0
1br,Golden Plains,2002-03-01 00:00:00,0,0
1br,Golden Plains,2002-06-01 00:00:00,0,0
1br,Golden Plains,2002-09-01 00:00:00,3,1
1br,Golden Plains,2002-12-01 00:00:00,1,1
1br,Golden Plains,2003-03-01 00:00:00,2,0.667
1br,Golden Plains,2003-06-01 00:00:00,2,1
1br,Golden Plains,2003-09-01 00:00:00,1,0.333
1br,Golden Plains,2003-12-01 00:00:00,3,0.75
1br,Golden Plains,2004-03-01 00:00:00,1,1
1br,Golden Plains,2004-06-01 00:00:00,2,1
1br,Golden Plains,2004-09-01 00:00:00,2,1
1br,Golden Plains,2004-12-01 00:00:00,1,1
1br,Golden Plains,2005-03-01 00:00:00,1,1
1br,Golden Plains,2005-06-01 00:00:00,1,1
1br,Golden Plains,2005-09-01 00:00:00,2,1
1br,Golden Plains,2005-12-01 00:00:00,1,1
1br,Golden Plains,2006-03-01 00:00:00,1,1
1br,Golden Plains,2006-06-01 00:00:00,1,1
1br,Golden Plains,2006-09-01 00:00:00,2,1
1br,Golden Plains,2006-12-01 00:00:00,0,0
1br,Golden Plains,2007-03-01 00:00:00,1,1
1br,Golden Plains,2007-06-01 00:00:00,2,1
1br,Golden Plains,2007-09-01 00:00:00,0,0
1br,Golden Plains,2007-12-01 00:00:00,0,0
1br,Golden Plains,2008-03-01 00:00:00,2,1
1br,Golden Plains,2008-06-01 00:00:00,0,0
1br,Golden Plains,2008-09-01 00:00:00,0,0
1br,Golden Plains,2008-12-01 00:00:00,0,0
1br,Golden Plains,2009-03-01 00:00:00,0,0
1br,Golden Plains,2009-06-01 00:00:00,1,1
1br,Golden Plains,2009-09-01 00:00:00,2,1
1br,Golden Plains,2009-12-01 00:00:00,1,0.333
1br,Golden Plains,2010-03-01 00:00:00,0,0
1br,Golden Plains,2010-06-01 00:00:00,2,0.667
1br,Golden Plains,2010-09-01 00:00:00,0,0
1br,Golden Plains,2010-12-01 00:00:00,0,0
1br,Golden Plains,2011-03-01 00:00:00,1,1
1br,Golden Plains,2011-06-01 00:00:00,0,0
1br,Golden Plains,2011-09-01 00:00:00,0,0
1br,Golden Plains,2011-12-01 00:00:00,1,1
1br,Golden Plains,2012-03-01 00:00:00,1,0.5
1br,Golden Plains,2012-06-01 00:00:00,0,0
1br,Golden Plains,2012-09-01 00:00:00,0,0
1br,Golden Plains,2012-12-01 00:00:00,0,0
1br,Golden Plains,2013-03-01 00:00:00,2,0.5
1br,Golden Plains,2013-06-01 00:00:00,1,1
1br,Golden Plains,2013-09-01 00:00:00,1,1
1br,Golden Plains,2014-03-01 00:00:00,1,0.333
1br,Golden Plains,2014-06-01 00:00:00,0,0
1br,Golden Plains,2014-09-01 00:00:00,0,0
1br,Golden Plains,2014-12-01 00:00:00,0,0
1br,Golden Plains,2015-03-01 00:00:00,1,1
1br,Golden Plains,2015-06-01 00:00:00,0,0
1br,Golden Plains,2015-09-01 00:00:00,1,0.5
1br,Golden Plains,2015-12-01 00:00:00,1,1
1br,Golden Plains,2016-03-01 00:00:00,0,0
1br,Golden Plains,2016-06-01 00:00:00,1,1
1br,Golden Plains,2016-09-01 00:00:00,1,0.5
1br,Golden Plains,2016-12-01 00:00:00,1,1
1br,Golden Plains,2017-03-01 00:00:00,0,0
1br,Golden Plains,2017-09-01 00:00:00,0,0
1br,Golden Plains,2017-12-01 00:00:00,0,0
1br,Golden Plains,2018-03-01 00:00:00,0,0
1br,Golden Plains,2018-06-01 00:00:00,0,0
1br,Golden Plains,2018-09-01 00:00:00,0,0
1br,Golden Plains,2018-12-01 00:00:00,0,0
1br,Golden Plains,2019-03-01 00:00:00,0,0
1br,Golden Plains,2019-06-01 00:00:00,0,0
1br,Golden Plains,2019-09-01 00:00:00,0,0
1br,Golden Plains,2019-12-01 00:00:00,0,0
1br,Golden Plains,2020-03-01 00:00:00,0,0
1br,Golden Plains,2020-06-01 00:00:00,0,0
1br,Golden Plains,2020-09-01 00:00:00,0,0
1br,Golden Plains,2020-12-01 00:00:00,0,0
1br,Golden Plains,2021-03-01 00:00:00,0,0
1br,Golden Plains,2021-06-01 00:00:00,0,0
1br,Golden Plains,2021-09-01 00:00:00,0,0
1br,Golden Plains,2021-12-01 00:00:00,0,0
1br,Golden Plains,2022-03-01 00:00:00,0,0
1br,Golden Plains,2022-06-01 00:00:00,0,0
1br,Golden Plains,2022-09-01 00:00:00,0,0
1br,Golden Plains,2022-12-01 00:00:00,0,0
1br,Golden Plains,2023-03-01 00:00:00,0,0
1br,Golden Plains,2023-06-01 00:00:00,1,0.5
1br,Golden Plains,2023-09-01 00:00:00,0,0
1br,Golden Plains,2023-12-01 00:00:00,0,0
1br,Golden Plains,2024-03-01 00:00:00,0,0
1br,Golden Plains,2024-06-01 00:00:00,0,0
1br,Golden Plains,2024-09-01 00:00:00,0,0
1br,Golden Plains,2024-12-01 00:00:00,0,0
1br,Golden Plains,2025-03-01 00:00:00,0,0
1br,Greater Bendigo,2000-03-01 00:00:00,45,0.672
1br,Greater Bendigo,2000-06-01 00:00:00,32,0.744
1br,Greater Bendigo,2000-09-01 00:00:00,38,0.76
1br,Greater Bendigo,2000-12-01 00:00:00,50,0.943
1br,Greater Bendigo,2001-03-01 00:00:00,65,0.929
1br,Greater Bendigo,2001-06-01 00:00:00,36,0.9
1br,Greater Bendigo,2001-09-01 00:00:00,37,0.822
1br,Greater Bendigo,2001-12-01 00:00:00,29,0.806
1br,Greater Bendigo,2002-03-01 00:00:00,55,0.786
1br,Greater Bendigo,2002-06-01 00:00:00,34,0.708
1br,Greater Bendigo,2002-09-01 00:00:00,38,0.809
1br,Greater Bendigo,2002-12-01 00:00:00,28,0.7
1br,Greater Bendigo,2003-03-01 00:00:00,41,0.672
1br,Greater Bendigo,2003-06-01 00:00:00,24,0.686
1br,Greater Bendigo,2003-09-01 00:00:00,24,0.6
1br,Greater Bendigo,2003-12-01 00:00:00,25,0.595
1br,Greater Bendigo,2004-03-01 00:00:00,31,0.477
1br,Greater Bendigo,2004-06-01 00:00:00,17,0.5
1br,Greater Bendigo,2004-09-01 00:00:00,26,0.5
1br,Greater Bendigo,2004-12-01 00:00:00,15,0.5
1br,Greater Bendigo,2005-03-01 00:00:00,25,0.481
1br,Greater Bendigo,2005-06-01 00:00:00,19,0.463
1br,Greater Bendigo,2005-09-01 00:00:00,19,0.432
1br,Greater Bendigo,2005-12-01 00:00:00,22,0.629
1br,Greater Bendigo,2006-03-01 00:00:00,25,0.424
1br,Greater Bendigo,2006-06-01 00:00:00,17,0.378
1br,Greater Bendigo,2006-09-01 00:00:00,14,0.378
1br,Greater Bendigo,2006-12-01 00:00:00,21,0.525
1br,Greater Bendigo,2007-03-01 00:00:00,25,0.446
1br,Greater Bendigo,2007-06-01 00:00:00,22,0.512
1br,Greater Bendigo,2007-09-01 00:00:00,15,0.417
1br,Greater Bendigo,2007-12-01 00:00:00,22,0.449
1br,Greater Bendigo,2008-03-01 00:00:00,16,0.372
1br,Greater Bendigo,2008-06-01 00:00:00,15,0.319
1br,Greater Bendigo,2008-09-01 00:00:00,10,0.294
1br,Greater Bendigo,2008-12-01 00:00:00,24,0.48
1br,Greater Bendigo,2009-03-01 00:00:00,11,0.314
1br,Greater Bendigo,2009-06-01 00:00:00,18,0.316
1br,Greater Bendigo,2009-09-01 00:00:00,13,0.25
1br,Greater Bendigo,2009-12-01 00:00:00,11,0.216
1br,Greater Bendigo,2010-03-01 00:00:00,15,0.306
1br,Greater Bendigo,2010-06-01 00:00:00,15,0.395
1br,Greater Bendigo,2010-09-01 00:00:00,10,0.233
1br,Greater Bendigo,2010-12-01 00:00:00,8,0.235
1br,Greater Bendigo,2011-03-01 00:00:00,9,0.25
1br,Greater Bendigo,2011-06-01 00:00:00,6,0.167
1br,Greater Bendigo,2011-09-01 00:00:00,5,0.172
1br,Greater Bendigo,2011-12-01 00:00:00,8,0.242
1br,Greater Bendigo,2012-03-01 00:00:00,7,0.146
1br,Greater Bendigo,2012-06-01 00:00:00,7,0.163
1br,Greater Bendigo,2012-09-01 00:00:00,4,0.091
1br,Greater Bendigo,2012-12-01 00:00:00,3,0.083
1br,Greater Bendigo,2013-03-01 00:00:00,12,0.179
1br,Greater Bendigo,2013-06-01 00:00:00,3,0.094
1br,Greater Bendigo,2013-09-01 00:00:00,3,0.094
1br,Greater Bendigo,2014-03-01 00:00:00,5,0.114
1br,Greater Bendigo,2014-06-01 00:00:00,3,0.088
1br,Greater Bendigo,2014-09-01 00:00:00,3,0.073
1br,Greater Bendigo,2014-12-01 00:00:00,2,0.065
1br,Greater Bendigo,2015-03-01 00:00:00,3,0.07
1br,Greater Bendigo,2015-06-01 00:00:00,3,0.125
1br,Greater Bendigo,2015-09-01 00:00:00,6,0.118
1br,Greater Bendigo,2015-12-01 00:00:00,1,0.037
1br,Greater Bendigo,2016-03-01 00:00:00,6,0.162
1br,Greater Bendigo,2016-06-01 00:00:00,3,0.063
1br,Greater Bendigo,2016-09-01 00:00:00,2,0.071
1br,Greater Bendigo,2016-12-01 00:00:00,2,0.053
1br,Greater Bendigo,2017-03-01 00:00:00,4,0.065
1br,Greater Bendigo,2017-09-01 00:00:00,6,0.171
1br,Greater Bendigo,2017-12-01 00:00:00,9,0.391
1br,Greater Bendigo,2018-03-01 00:00:00,8,0.151
1br,Greater Bendigo,2018-06-01 00:00:00,6,0.146
1br,Greater Bendigo,2018-09-01 00:00:00,6,0.194
1br,Greater Bendigo,2018-12-01 00:00:00,4,0.148
1br,Greater Bendigo,2019-03-01 00:00:00,6,0.194
1br,Greater Bendigo,2019-06-01 00:00:00,3,0.12
1br,Greater Bendigo,2019-09-01 00:00:00,2,0.038
1br,Greater Bendigo,2019-12-01 00:00:00,3,0.064
1br,Greater Bendigo,2020-03-01 00:00:00,4,0.129
1br,Greater Bendigo,2020-06-01 00:00:00,2,0.08
1br,Greater Bendigo,2020-09-01 00:00:00,1,0.037
1br,Greater Bendigo,2020-12-01 00:00:00,4,0.138
1br,Greater Bendigo,2021-03-01 00:00:00,2,0.059
1br,Greater Bendigo,2021-06-01 00:00:00,2,0.095
1br,Greater Bendigo,2021-09-01 00:00:00,4,0.143
1br,Greater Bendigo,2021-12-01 00:00:00,2,0.057
1br,Greater Bendigo,2022-03-01 00:00:00,3,0.091
1br,Greater Bendigo,2022-06-01 00:00:00,0,0
1br,Greater Bendigo,2022-09-01 00:00:00,3,0.1
1br,Greater Bendigo,2022-12-01 00:00:00,4,0.138
1br,Greater Bendigo,2023-03-01 00:00:00,2,0.059
1br,Greater Bendigo,2023-06-01 00:00:00,0,0
1br,Greater Bendigo,2023-09-01 00:00:00,3,0.079
1br,Greater Bendigo,2023-12-01 00:00:00,4,0.19
1br,Greater Bendigo,2024-03-01 00:00:00,3,0.103
1br,Greater Bendigo,2024-06-01 00:00:00,4,0.129
1br,Greater Bendigo,2024-09-01 00:00:00,1,0.042
1br,Greater Bendigo,2024-12-01 00:00:00,2,0.133
1br,Greater Bendigo,2025-03-01 00:00:00,1,0.037
1br,Greater Dandenong,2000-03-01 00:00:00,17,0.167
1br,Greater Dandenong,2000-06-01 00:00:00,16,0.172
1br,Greater Dandenong,2000-09-01 00:00:00,35,0.313
1br,Greater Dandenong,2000-12-01 00:00:00,57,0.687
1br,Greater Dandenong,2001-03-01 00:00:00,76,0.655
1br,Greater Dandenong,2001-06-01 00:00:00,70,0.619
1br,Greater Dandenong,2001-09-01 00:00:00,33,0.351
1br,Greater Dandenong,2001-12-01 00:00:00,36,0.396
1br,Greater Dandenong,2002-03-01 00:00:00,26,0.283
1br,Greater Dandenong,2002-06-01 00:00:00,31,0.36
1br,Greater Dandenong,2002-09-01 00:00:00,41,0.402
1br,Greater Dandenong,2002-12-01 00:00:00,27,0.307
1br,Greater Dandenong,2003-03-01 00:00:00,29,0.299
1br,Greater Dandenong,2003-06-01 00:00:00,22,0.289
1br,Greater Dandenong,2003-09-01 00:00:00,23,0.245
1br,Greater Dandenong,2003-12-01 00:00:00,17,0.23
1br,Greater Dandenong,2004-03-01 00:00:00,17,0.144
1br,Greater Dandenong,2004-06-01 00:00:00,12,0.226
1br,Greater Dandenong,2004-09-01 00:00:00,27,0.293
1br,Greater Dandenong,2004-12-01 00:00:00,19,0.247
1br,Greater Dandenong,2005-03-01 00:00:00,16,0.182
1br,Greater Dandenong,2005-06-01 00:00:00,21,0.233
1br,Greater Dandenong,2005-09-01 00:00:00,20,0.206
1br,Greater Dandenong,2005-12-01 00:00:00,26,0.292
1br,Greater Dandenong,2006-03-01 00:00:00,23,0.274
1br,Greater Dandenong,2006-06-01 00:00:00,13,0.163
1br,Greater Dandenong,2006-09-01 00:00:00,13,0.163
1br,Greater Dandenong,2006-12-01 00:00:00,11,0.155
1br,Greater Dandenong,2007-03-01 00:00:00,7,0.111
1br,Greater Dandenong,2007-06-01 00:00:00,6,0.078
1br,Greater Dandenong,2007-09-01 00:00:00,5,0.069
1br,Greater Dandenong,2007-12-01 00:00:00,4,0.077
1br,Greater Dandenong,2008-03-01 00:00:00,5,0.072
1br,Greater Dandenong,2008-06-01 00:00:00,3,0.043
1br,Greater Dandenong,2008-09-01 00:00:00,6,0.088
1br,Greater Dandenong,2008-12-01 00:00:00,2,0.033
1br,Greater Dandenong,2009-03-01 00:00:00,0,0
1br,Greater Dandenong,2009-06-01 00:00:00,2,0.02
1br,Greater Dandenong,2009-09-01 00:00:00,2,0.017
1br,Greater Dandenong,2009-12-01 00:00:00,4,0.043
1br,Greater Dandenong,2010-03-01 00:00:00,1,0.013
1br,Greater Dandenong,2010-06-01 00:00:00,0,0
1br,Greater Dandenong,2010-09-01 00:00:00,1,0.014
1br,Greater Dandenong,2010-12-01 00:00:00,4,0.043
1br,Greater Dandenong,2011-03-01 00:00:00,1,0.009
1br,Greater Dandenong,2011-06-01 00:00:00,2,0.027
1br,Greater Dandenong,2011-09-01 00:00:00,2,0.022
1br,Greater Dandenong,2011-12-01 00:00:00,3,0.031
1br,Greater Dandenong,2012-03-01 00:00:00,1,0.009
1br,Greater Dandenong,2012-06-01 00:00:00,2,0.017
1br,Greater Dandenong,2012-09-01 00:00:00,3,0.026
1br,Greater Dandenong,2012-12-01 00:00:00,0,0
1br,Greater Dandenong,2013-03-01 00:00:00,2,0.017
1br,Greater Dandenong,2013-06-01 00:00:00,1,0.009
1br,Greater Dandenong,2013-09-01 00:00:00,0,0
1br,Greater Dandenong,2014-03-01 00:00:00,0,0
1br,Greater Dandenong,2014-06-01 00:00:00,1,0.01
1br,Greater Dandenong,2014-09-01 00:00:00,0,0
1br,Greater Dandenong,2014-12-01 00:00:00,0,0
1br,Greater Dandenong,2015-03-01 00:00:00,0,0
1br,Greater Dandenong,2015-06-01 00:00:00,0,0
1br,Greater Dandenong,2015-09-01 00:00:00,1,0.006
1br,Greater Dandenong,2015-12-01 00:00:00,3,0.024
1br,Greater Dandenong,2016-03-01 00:00:00,3,0.025
1br,Greater Dandenong,2016-06-01 00:00:00,0,0
1br,Greater Dandenong,2016-09-01 00:00:00,1,0.006
1br,Greater Dandenong,2016-12-01 00:00:00,0,0
1br,Greater Dandenong,2017-03-01 00:00:00,0,0
1br,Greater Dandenong,2017-09-01 00:00:00,2,0.014
1br,Greater Dandenong,2017-12-01 00:00:00,1,0.008
1br,Greater Dandenong,2018-03-01 00:00:00,0,0
1br,Greater Dandenong,2018-06-01 00:00:00,1,0.01
1br,Greater Dandenong,2018-09-01 00:00:00,2,0.016
1br,Greater Dandenong,2018-12-01 00:00:00,1,0.009
1br,Greater Dandenong,2019-03-01 00:00:00,0,0
1br,Greater Dandenong,2019-06-01 00:00:00,0,0
1br,Greater Dandenong,2019-09-01 00:00:00,1,0.007
1br,Greater Dandenong,2019-12-01 00:00:00,1,0.006
1br,Greater Dandenong,2020-03-01 00:00:00,0,0
1br,Greater Dandenong,2020-06-01 00:00:00,1,0.008
1br,Greater Dandenong,2020-09-01 00:00:00,2,0.024
1br,Greater Dandenong,2020-12-01 00:00:00,2,0.014
1br,Greater Dandenong,2021-03-01 00:00:00,2,0.015
1br,Greater Dandenong,2021-06-01 00:00:00,3,0.022
1br,Greater Dandenong,2021-09-01 00:00:00,3,0.028
1br,Greater Dandenong,2021-12-01 00:00:00,1,0.008
1br,Greater Dandenong,2022-03-01 00:00:00,0,0
1br,Greater Dandenong,2022-06-01 00:00:00,0,0
1br,Greater Dandenong,2022-09-01 00:00:00,1,0.007
1br,Greater Dandenong,2022-12-01 00:00:00,2,0.017
1br,Greater Dandenong,2023-03-01 00:00:00,1,0.008
1br,Greater Dandenong,2023-06-01 00:00:00,1,0.011
1br,Greater Dandenong,2023-09-01 00:00:00,1,0.008
1br,Greater Dandenong,2023-12-01 00:00:00,2,0.018
1br,Greater Dandenong,2024-03-01 00:00:00,2,0.019
1br,Greater Dandenong,2024-06-01 00:00:00,0,0
1br,Greater Dandenong,2024-09-01 00:00:00,0,0
1br,Greater Dandenong,2024-12-01 00:00:00,0,0
1br,Greater Dandenong,2025-03-01 00:00:00,0,0
1br,Greater Geelong,2000-03-01 00:00:00,190,0.731
1br,Greater Geelong,2000-06-01 00:00:00,162,0.818
1br,Greater Geelong,2000-09-01 00:00:00,159,0.803
1br,Greater Geelong,2000-12-01 00:00:00,193,0.885
1br,Greater Geelong,2001-03-01 00:00:00,217,0.865
1br,Greater Geelong,2001-06-01 00:00:00,176,0.876
1br,Greater Geelong,2001-09-01 00:00:00,182,0.847
1br,Greater Geelong,2001-12-01 00:00:00,162,0.839
1br,Greater Geelong,2002-03-01 00:00:00,163,0.823
1br,Greater Geelong,2002-06-01 00:00:00,188,0.879
1br,Greater Geelong,2002-09-01 00:00:00,164,0.837
1br,Greater Geelong,2002-12-01 00:00:00,148,0.813
1br,Greater Geelong,2003-03-01 00:00:00,156,0.667
1br,Greater Geelong,2003-06-01 00:00:00,140,0.749
1br,Greater Geelong,2003-09-01 00:00:00,135,0.75
1br,Greater Geelong,2003-12-01 00:00:00,110,0.705
1br,Greater Geelong,2004-03-01 00:00:00,135,0.567
1br,Greater Geelong,2004-06-01 00:00:00,107,0.686
1br,Greater Geelong,2004-09-01 00:00:00,122,0.722
1br,Greater Geelong,2004-12-01 00:00:00,93,0.557
1br,Greater Geelong,2005-03-01 00:00:00,144,0.605
1br,Greater Geelong,2005-06-01 00:00:00,108,0.711
1br,Greater Geelong,2005-09-01 00:00:00,123,0.672
1br,Greater Geelong,2005-12-01 00:00:00,111,0.665
1br,Greater Geelong,2006-03-01 00:00:00,110,0.585
1br,Greater Geelong,2006-06-01 00:00:00,89,0.56
1br,Greater Geelong,2006-09-01 00:00:00,100,0.578
1br,Greater Geelong,2006-12-01 00:00:00,68,0.496
1br,Greater Geelong,2007-03-01 00:00:00,93,0.46
1br,Greater Geelong,2007-06-01 00:00:00,83,0.593
1br,Greater Geelong,2007-09-01 00:00:00,74,0.507
1br,Greater Geelong,2007-12-01 00:00:00,76,0.466
1br,Greater Geelong,2008-03-01 00:00:00,78,0.363
1br,Greater Geelong,2008-06-01 00:00:00,61,0.391
1br,Greater Geelong,2008-09-01 00:00:00,58,0.317
1br,Greater Geelong,2008-12-01 00:00:00,49,0.312
1br,Greater Geelong,2009-03-01 00:00:00,47,0.234
1br,Greater Geelong,2009-06-01 00:00:00,40,0.197
1br,Greater Geelong,2009-09-01 00:00:00,35,0.164
1br,Greater Geelong,2009-12-01 00:00:00,29,0.157
1br,Greater Geelong,2010-03-01 00:00:00,38,0.201
1br,Greater Geelong,2010-06-01 00:00:00,33,0.214
1br,Greater Geelong,2010-09-01 00:00:00,18,0.124
1br,Greater Geelong,2010-12-01 00:00:00,16,0.119
1br,Greater Geelong,2011-03-01 00:00:00,16,0.089
1br,Greater Geelong,2011-06-01 00:00:00,16,0.094
1br,Greater Geelong,2011-09-01 00:00:00,12,0.071
1br,Greater Geelong,2011-12-01 00:00:00,14,0.093
1br,Greater Geelong,2012-03-01 00:00:00,10,0.05
1br,Greater Geelong,2012-06-01 00:00:00,10,0.064
1br,Greater Geelong,2012-09-01 00:00:00,6,0.037
1br,Greater Geelong,2012-12-01 00:00:00,9,0.056
1br,Greater Geelong,2013-03-01 00:00:00,10,0.053
1br,Greater Geelong,2013-06-01 00:00:00,5,0.027
1br,Greater Geelong,2013-09-01 00:00:00,8,0.047
1br,Greater Geelong,2014-03-01 00:00:00,7,0.04
1br,Greater Geelong,2014-06-01 00:00:00,3,0.017
1br,Greater Geelong,2014-09-01 00:00:00,4,0.025
1br,Greater Geelong,2014-12-01 00:00:00,1,0.006
1br,Greater Geelong,2015-03-01 00:00:00,7,0.034
1br,Greater Geelong,2015-06-01 00:00:00,8,0.058
1br,Greater Geelong,2015-09-01 00:00:00,1,0.006
1br,Greater Geelong,2015-12-01 00:00:00,3,0.019
1br,Greater Geelong,2016-03-01 00:00:00,2,0.01
1br,Greater Geelong,2016-06-01 00:00:00,2,0.014
1br,Greater Geelong,2016-09-01 00:00:00,3,0.019
1br,Greater Geelong,2016-12-01 00:00:00,2,0.013
1br,Greater Geelong,2017-03-01 00:00:00,2,0.012
1br,Greater Geelong,2017-09-01 00:00:00,6,0.041
1br,Greater Geelong,2017-12-01 00:00:00,10,0.063
1br,Greater Geelong,2018-03-01 00:00:00,0,0
1br,Greater Geelong,2018-06-01 00:00:00,3,0.026
1br,Greater Geelong,2018-09-01 00:00:00,0,0
1br,Greater Geelong,2018-12-01 00:00:00,3,0.025
1br,Greater Geelong,2019-03-01 00:00:00,1,0.006
1br,Greater Geelong,2019-06-01 00:00:00,6,0.048
1br,Greater Geelong,2019-09-01 00:00:00,4,0.026
1br,Greater Geelong,2019-12-01 00:00:00,3,0.019
1br,Greater Geelong,2020-03-01 00:00:00,6,0.037
1br,Greater Geelong,2020-06-01 00:00:00,1,0.007
1br,Greater Geelong,2020-09-01 00:00:00,1,0.006
1br,Greater Geelong,2020-12-01 00:00:00,3,0.02
1br,Greater Geelong,2021-03-01 00:00:00,4,0.024
1br,Greater Geelong,2021-06-01 00:00:00,3,0.027
